fix,active_nozzles,shut_nozzles,min_clearance_m,buffer_m,reason
88,6,,109.57,1.5,All 6 nozzles spray. Nearest nozzle is 109.6 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
89,6,,109.49,1.5,All 6 nozzles spray. Nearest nozzle is 109.5 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
90,6,,109.24,1.5,All 6 nozzles spray. Nearest nozzle is 109.2 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
91,6,,109.4,1.5,All 6 nozzles spray. Nearest nozzle is 109.4 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
92,6,,109.53,1.5,All 6 nozzles spray. Nearest nozzle is 109.5 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
93,6,,109.65,1.5,All 6 nozzles spray. Nearest nozzle is 109.6 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
94,6,,109.65,1.5,All 6 nozzles spray. Nearest nozzle is 109.6 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
95,6,,109.41,1.5,All 6 nozzles spray. Nearest nozzle is 109.4 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
96,6,,109.21,1.5,All 6 nozzles spray. Nearest nozzle is 109.2 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
97,6,,109.25,1.5,All 6 nozzles spray. Nearest nozzle is 109.2 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
98,6,,109.23,1.5,All 6 nozzles spray. Nearest nozzle is 109.2 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
99,6,,109.18,1.5,All 6 nozzles spray. Nearest nozzle is 109.2 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
100,6,,109.35,1.5,All 6 nozzles spray. Nearest nozzle is 109.3 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
101,6,,109.31,1.5,All 6 nozzles spray. Nearest nozzle is 109.3 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
102,6,,97.35,1.5,All 6 nozzles spray. Nearest nozzle is 97.3 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
103,6,,97.58,1.5,All 6 nozzles spray. Nearest nozzle is 97.6 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
104,6,,97.76,1.5,All 6 nozzles spray. Nearest nozzle is 97.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
105,6,,97.55,1.5,All 6 nozzles spray. Nearest nozzle is 97.5 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
106,6,,97.51,1.5,All 6 nozzles spray. Nearest nozzle is 97.5 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
107,6,,97.31,1.5,All 6 nozzles spray. Nearest nozzle is 97.3 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
108,6,,97.34,1.5,All 6 nozzles spray. Nearest nozzle is 97.3 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
109,6,,97.41,1.5,All 6 nozzles spray. Nearest nozzle is 97.4 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
110,6,,97.54,1.5,All 6 nozzles spray. Nearest nozzle is 97.5 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
111,6,,97.47,1.5,All 6 nozzles spray. Nearest nozzle is 97.5 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
112,6,,97.54,1.5,All 6 nozzles spray. Nearest nozzle is 97.5 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
113,6,,97.47,1.5,All 6 nozzles spray. Nearest nozzle is 97.5 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
114,6,,97.65,1.5,All 6 nozzles spray. Nearest nozzle is 97.6 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
115,6,,97.63,1.5,All 6 nozzles spray. Nearest nozzle is 97.6 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
116,6,,97.88,1.5,All 6 nozzles spray. Nearest nozzle is 97.9 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
117,6,,97.8,1.5,All 6 nozzles spray. Nearest nozzle is 97.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
118,6,,97.82,1.5,All 6 nozzles spray. Nearest nozzle is 97.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
119,6,,98.0,1.5,All 6 nozzles spray. Nearest nozzle is 98.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
120,6,,98.16,1.5,All 6 nozzles spray. Nearest nozzle is 98.2 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
121,6,,98.14,1.5,All 6 nozzles spray. Nearest nozzle is 98.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
122,6,,97.94,1.5,All 6 nozzles spray. Nearest nozzle is 97.9 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
123,6,,97.9,1.5,All 6 nozzles spray. Nearest nozzle is 97.9 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
124,6,,98.14,1.5,All 6 nozzles spray. Nearest nozzle is 98.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
125,6,,97.85,1.5,All 6 nozzles spray. Nearest nozzle is 97.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
126,6,,97.99,1.5,All 6 nozzles spray. Nearest nozzle is 98.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
127,6,,97.92,1.5,All 6 nozzles spray. Nearest nozzle is 97.9 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
128,6,,98.09,1.5,All 6 nozzles spray. Nearest nozzle is 98.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
129,6,,98.12,1.5,All 6 nozzles spray. Nearest nozzle is 98.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
130,6,,97.94,1.5,All 6 nozzles spray. Nearest nozzle is 97.9 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
131,6,,98.06,1.5,All 6 nozzles spray. Nearest nozzle is 98.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
132,6,,97.99,1.5,All 6 nozzles spray. Nearest nozzle is 98.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
133,6,,98.07,1.5,All 6 nozzles spray. Nearest nozzle is 98.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
134,6,,98.39,1.5,All 6 nozzles spray. Nearest nozzle is 98.4 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
135,6,,98.31,1.5,All 6 nozzles spray. Nearest nozzle is 98.3 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
136,6,,86.29,1.5,All 6 nozzles spray. Nearest nozzle is 86.3 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
137,6,,86.13,1.5,All 6 nozzles spray. Nearest nozzle is 86.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
138,6,,85.7,1.5,All 6 nozzles spray. Nearest nozzle is 85.7 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
139,6,,85.84,1.5,All 6 nozzles spray. Nearest nozzle is 85.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
140,6,,85.77,1.5,All 6 nozzles spray. Nearest nozzle is 85.8 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
141,6,,85.97,1.5,All 6 nozzles spray. Nearest nozzle is 86.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
142,6,,86.0,1.5,All 6 nozzles spray. Nearest nozzle is 86.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
143,6,,86.13,1.5,All 6 nozzles spray. Nearest nozzle is 86.1 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
144,6,,86.27,1.5,All 6 nozzles spray. Nearest nozzle is 86.3 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
145,6,,86.2,1.5,All 6 nozzles spray. Nearest nozzle is 86.2 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
146,6,,85.96,1.5,All 6 nozzles spray. Nearest nozzle is 86.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
147,6,,86.02,1.5,All 6 nozzles spray. Nearest nozzle is 86.0 m from the organic line; safety buffer is 1.5 m (error 1.0 m + drift 0.5 m). Margin OK.
